* Pathways from iAF1260

CA2t3pp	ca2[c] + h[p] --> ca2[p] + h[c]
CA2tex	ca2[e] <==> ca2[p]
CADVtpp	15dap[c] + h[p] + lys-L[p] --> 15dap[p] + h[c] + lys-L[c]
CAT	[c] : (2) h2o2 --> (2) h2o + o2
CAt6pp	ca2[c] + na1[p] <==> ca2[p] + na1[c]
CBIAT	[c] : atp + cbi + h <==> adocbi + pppi
CBItonex	cbi[e] + h[p] --> cbi[p] + h[c]
CBIuabcpp	atp[c] + cbi[p] + h2o[c] --> adp[c] + cbi[c] + h[c] + pi[c]
CBL1abcpp	atp[c] + cbl1[p] + h2o[c] --> adp[c] + cbl1[c] + h[c] + pi[c]
CBL1tonex	cbl1[e] + h[p] --> cbl1[p] + h[c]
CBLAT	[c] : atp + cbl1 + h <==> adocbl + pppi
CBMKr	[c] : atp + co2 + nh4 <==> adp + cbp + (2) h
CBPS	[c] : (2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi
CD2abcpp	atp[c] + cd2[c] + h2o[c] --> adp[c] + cd2[p] + h[c] + pi[c]
CD2t3pp	cd2[c] + h[p] --> cd2[p] + h[c]
CD2tex	cd2[e] <==> cd2[p]
CD2tpp	cd2[p] --> cd2[c]
CDAPPA120	[c] : cdpdddecg + h2o --> cmp + (2) h + pa120
CDAPPA140	[c] : cdpdtdecg + h2o --> cmp + (2) h + pa140
CDAPPA141	[c] : cdpdtdec7eg + h2o --> cmp + (2) h + pa141
CDAPPA160	[c] : cdpdhdecg + h2o --> cmp + (2) h + pa160
CDAPPA161	[c] : cdpdhdec9eg + h2o --> cmp + (2) h + pa161
CDAPPA180	[c] : cdpdodecg + h2o --> cmp + (2) h + pa180
CDAPPA181	[c] : cdpdodec11eg + h2o --> cmp + (2) h + pa181
CDPMEK	[c] : 4c2me + atp --> 2p4c2me + adp + h
CFAS160E	[c] : (2) amet + pe161 --> (2) ahcys + cpe160 + (2) h
